hmdb_id,smiles,pubchem_cid,inchikey
HMDB0000001,CN1C=C(N=C1)C[C@@H](C(=O)O)N,92105,BRMWTNUJHUMWMS-LURJTMIESA-N
HMDB0000005,CCC(=O)C(=O)O,58,TYEYBOSBBBHJIV-UHFFFAOYSA-N
HMDB0000008,CCC(C(=O)O)O,11266,AFENDNXGAFYKQO-UHFFFAOYSA-N
HMDB0000010,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)OC)O,440624,WHEUWNKSCXYKBU-QPWUGHHJSA-N
HMDB0000011,C[C@H](CC(=O)O)O,92135,WHBMMWSBFZVSSR-GSVOUGTGSA-N
HMDB0000012,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,13712,MXHRCPNRJAMMIM-SHYZEUOFSA-N
HMDB0000014,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,13711,CKTSBUTUHBMZGZ-SHYZEUOFSA-N
HMDB0000015,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,440707,WHBHBVVOGNECLV-OBQKJFGGSA-N
HMDB0000017,CC1=NC=C(C(=C1O)C(=O)O)CO,6723,HXACOUQIXZGNBF-UHFFFAOYSA-N
HMDB0000020,C1=CC(=CC=C1CC(=O)O)O,127,XQXPVVBIMDBYFF-UHFFFAOYSA-N
HMDB0000021,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O,439744,UQTZMGFTRHFAAM-ZETCQYMHSA-N
HMDB0000022,COC1=C(C=CC(=C1)CCN)O,1669,DIVQKHQLANKJQO-UHFFFAOYSA-N
HMDB0000023,C[C@@H](CO)C(=O)O,440873,DBXBTMSZEOQQDU-VKHMYHEASA-N
HMDB0000024,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OS(=O)(=O)O)O)[C@@H](/C=C/CCCCCCCCCCCCC)O,6451121,MEAZTWJVOWHKJM-CIAPRIGGSA-N
HMDB0000027,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O,135402045,FNKQXYHWGSIFBK-UHFFFAOYSA-N
HMDB0000030,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,171548,YBJHBAHKTGYVGT-ZKWXMUAHSA-N
HMDB0000031,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,5879,QGXBDMJGAMFCBF-HLUDHZFRSA-N
HMDB0000032,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C,439423,UCTLRSWJYQTBFZ-DDPQNLDTSA-N
HMDB0000033,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN,439224,CQOVPNPJLQNMDC-ZETCQYMHSA-N
HMDB0000034,C1=NC2=NC=NC(=C2N1)N,190,GFFGJBXGBJISGV-UHFFFAOYSA-N
HMDB0000044,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,54670067,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
HMDB0000045,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,6083,UDMBCSSLTHHNCD-KQYNXXCUSA-N
HMDB0000048,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)O)O)O)O)O)O)O)O,440656,DLRVVLDZNNYCBX-OVEBFGLASA-N
HMDB0000050,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,60961,OIRDTQYFTABQOQ-KQYNXXCUSA-N
HMDB0000052,C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O,16950,KDZOASGQNOPSCU-WDSKDSINSA-N
HMDB0000054,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C/4\C(=C(C(=O)N4)C=C)C,21252250,BPYKTIZUTYGOLE-KDUUSRDASA-N
HMDB0000055,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,10712,GUBGYTABKSRVRQ-QRZGKKJRSA-N
HMDB0000058,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,6076,IVOMOUWHDPKRLL-KQYNXXCUSA-N
HMDB0000061,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N,159296,WHTCPDAXWFLDIH-KQYNXXCUSA-N
HMDB0000063,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,5754,JYGXADMDTFJGBT-VWUMJDOOSA-N
HMDB0000064,CN(CC(=O)O)C(=N)N,586,CVSVTCORWBXHQV-UHFFFAOYSA-N
HMDB0000067,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,5997,HVYWMOMLDIMFJA-DPAQBDIFSA-N
HMDB0000068,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,5816,UCTWMZQNUQWSLP-VIFPVBQESA-N
HMDB0000070,C1CCNC(C1)C(=O)O,849,HXEACLLIILLPRG-UHFFFAOYSA-N
HMDB0000071,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CNC3=O)CO)O,135398593,VGONTNSXDCQUGY-RRKCRQDMSA-N
HMDB0000072,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,643757,GTZCVFVGUGFEME-IWQZZHSRSA-N
HMDB0000073,C1=CC(=C(C=C1CCN)O)O,681,VYFYYTLLBUKUHU-UHFFFAOYSA-N
HMDB0000086,C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O,71920,SUHOQUVVVLNYQR-QMMMGPOBSA-N
HMDB0000092,CN(C)CC(=O)O,673,FFDGPVCHZBVARC-UHFFFAOYSA-N
HMDB0000094,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,311,KRKNYBCHXYNGOX-UHFFFAOYSA-N
HMDB0000095,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,6131,IERHLVCPSMICTF-XVFCMESISA-N
HMDB0000099,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,439258,ILRYLPWNYFXEMH-WHFBIAKZSA-N
HMDB0000101,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O,13730,OLXZPDWKRNYJJZ-RRKCRQDMSA-N
HMDB0000107,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O,11850,FBPFZTCFMRRESA-GUCUJZIJSA-N
HMDB0000112,C(CC(=O)O)CN,119,BTCSSZJGUNDROE-UHFFFAOYSA-N
HMDB0000114,C(CO)N(CC(CO)O)P(=O)(O)O,22833510,FRMZOWIQVCBEAC-UHFFFAOYSA-N
HMDB0000118,COC1=C(C=CC(=C1)CC(=O)O)O,1738,QRMZSPFSDQBLIX-UHFFFAOYSA-N
HMDB0000121,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,135398658,OVBPIULPVIDEAO-LBPRGKRZSA-N
HMDB0000122,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,5793,WQZGKKKJIJFFOK-GASJEMHNSA-N
HMDB0000124,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O,69507,GSXOAOHZAIYLCY-HSUXUTPPSA-N
HMDB0000125,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,124886,RWSXRVCMGQZWBV-WDSKDSINSA-N
HMDB0000126,C([C@H](COP(=O)(O)O)O)O,439162,AWUCVROLDVIAJX-GSVOUGTGSA-N
HMDB0000127,[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O,444791,AEMOLEFTQBMNLQ-WAXACMCWSA-N
HMDB0000128,C(C(=O)O)N=C(N)N,763,BPMFZUMJYQTVII-UHFFFAOYSA-N
HMDB0000130,C1=CC(=C(C=C1O)CC(=O)O)O,780,IGMNYECMUMZDDF-UHFFFAOYSA-N
HMDB0000131,C(C(CO)O)O,753,PEDCQBHIVMGVHV-UHFFFAOYSA-N
HMDB0000132,C1=NC2=C(N1)C(=O)NC(=N2)N,135398634,UYTPUPDQBNUYGX-UHFFFAOYSA-N
HMDB0000133,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,135398635,NYHBQMYGNKIUIF-UUOKFMHZSA-N
HMDB0000134,C(=C/C(=O)O)\C(=O)O,444972,VZCYOOQTPOCHFL-OWOJBTEDSA-N
HMDB0000138,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)O)C,23617285,RFDAIACWWDREDC-MZMBZMQMSA-N
HMDB0000139,C([C@H](C(=O)O)O)O,439194,RBNPOMFGQQGHHO-UWTATZPHSA-N
HMDB0000143,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,439357,WQZGKKKJIJFFOK-PHYPRBDBSA-N
HMDB0000145,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,5870,DNXHEGUUPJUMQT-CBZIJGRNSA-N
HMDB0000148,C(CC(=O)O)[C@@H](C(=O)O)N,33032,WHUUTDBJXJRKMK-VKHMYHEASA-N
HMDB0000151,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,5757,VOXZDWNPVJITMN-ZBRFXRBCSA-N
HMDB0000152,C1=CC(=C(C=C1O)C(=O)O)O,3469,WXTMDXOMEHJXQO-UHFFFAOYSA-N
HMDB0000153,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,5756,PROQIPRRNZUXQM-ZXXIGWHRSA-N
HMDB0000157,C1=NC2=C(N1)C(=O)NC=N2,135398638,FDGQSTZJBFJUBT-UHFFFAOYSA-N
HMDB0000158,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,6057,OUYCCCASQSFEME-QMMMGPOBSA-N
HMDB0000159,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,6140,COLNVLDHVKWLRT-QMMMGPOBSA-N
HMDB0000161,C[C@@H](C(=O)O)N,5950,QNAYBMKLOCPYGJ-REOHCLBHSA-N
HMDB0000162,C1C[C@H](NC1)C(=O)O,145742,ONIBWKKTOPOVIA-BYPYZUCNSA-N
HMDB0000163,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O,10991489,GUBGYTABKSRVRQ-DKBJLJRDSA-N
HMDB0000167,C[C@H]([C@@H](C(=O)O)N)O,6288,AYFVYJQAPQTCCC-GBXIJSLDSA-N
HMDB0000168,C([C@@H](C(=O)O)N)C(=O)N,6267,DCXYFEDJOCDNAF-REOHCLBHSA-N
HMDB0000169,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,18950,WQZGKKKJIJFFOK-QTVWNMPRSA-N
HMDB0000172,CC[C@H](C)[C@@H](C(=O)O)N,6306,AGPKZVBTJJNPAG-WHFBIAKZSA-N
HMDB0000174,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,25310,SHZGCJCMOBCMKK-JFNONXLTSA-N
HMDB0000175,C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,135398640,GRSZFWQUAKGDAV-KQYNXXCUSA-N
HMDB0000176,C(=C/C(=O)O)\C(=O)O,444972,VZCYOOQTPOCHFL-OWOJBTEDSA-N
HMDB0000177,C1=C(NC=N1)C[C@@H](C(=O)O)N,6274,HNDVDQJCIGZPNO-YFKPBYRVSA-N
HMDB0000182,C(CCN)C[C@@H](C(=O)O)N,5962,KDXKERNSBIXSRK-YFKPBYRVSA-N
HMDB0000186,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,84571,GUBGYTABKSRVRQ-XLOQQCSPSA-N
HMDB0000187,C([C@@H](C(=O)O)N)O,5951,MTCFGRXMJLQNBG-REOHCLBHSA-N
