Input name	Full structure level	sn-DB-position level	sn-position level	Molecular species level	Species level
2-Methoxyestrone					
Cortexolone					
3-O-Sulfogalactosylceramide (d18:1/24:0)					
Androsterone					
7-Dehydrocholesterol					
Cortisol					
Cholesterol					
Glycerophosphocholine					
Glycerol 3-phosphate					
Glycocholic acid					
Estrone					
Estradiol					
Estriol					
Oleic acid					
Palmitic acid					
L-Palmitoylcarnitine					
Mevalonic acid					
Testosterone					
Squalene					
Tetrahydrocorticosterone					
Vitamin A					
3b-Hydroxy-5-cholenoic acid					
3a,7a,12b-Trihydroxy-5b-cholanoic acid					
16b-Hydroxyestrone					
16-a-Hydroxypregnenolone					
2-Hydroxy-3-methylpentanoic acid					
18-Hydroxycorticosterone					
18-Oxocortisol					
16a-Hydroxyestrone					
2-Hydroxyestradiol					
3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid					
2-Octenedioic acid					
2-Hydroxyestrone					
2-Methoxyestradiol-3-methylether					
16b-Hydroxyestradiol					
3b,12a-Dihydroxy-5a-cholanoic acid					
3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid					
16a-Hydroxydehydroisoandrosterone					
2-Methyl-3-hydroxybutyric acid					
3-Hydroxymethylglutaric acid					
3b,7a-Dihydroxy-5b-cholanoic acid					
17a-Hydroxypregnenolone					
3a,6a,7b-Trihydroxy-5b-cholanoic acid					
Epiandrosterone					
3b,17b-Dihydroxyetiocholane					
17-Hydroxyprogesterone					
3b,7a,12a-Trihydroxy-5a-Cholanoic acid					
2-Hydroxyestradiol-3-methyl ether					
Allolithocholic acid					
3a,7b,12b-Trihydroxy-5b-cholanoic acid					
2-Octenoic acid					
3-Hexenedioic acid					
3-Hydroxytetradecanedioic acid					
3b,7b,12a-Trihydroxy-5b-cholanoic acid					
2-Ethylhydracrylic acid					
16-Ketoestradiol					
(5R)-5-Hydroxyhexanoic acid					
3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid					
3a,12b-Dihydroxy-5b-cholanoic acid					
3a,6b,7b-Trihydroxy-5b-cholanoic acid					
17-Hydroxypregnenolone sulfate					
18-Hydroxycortisol					
3b,7a,12a-Trihydroxy-5b-cholanoic acid					
2-Methylglutaric acid					
Citramalic acid					
3b,7b,12a-Trihydroxy-5a-Cholanoic acid					
17a-Estradiol					
24,25-Dihydroxyvitamin D					
16,17-Epiestriol					
3a,7b,12a-Trihydroxy-5a-Cholanoic acid					
3b,12a-Dihydroxy-5b-cholanoic acid					
7a,12a-Dihydroxy-3-oxo-4-cholenoic acid					
Adipic acid					
5a-Tetrahydrocorticosterone					
5a-Androstane-3a,17a-diol					
Nutriacholic acid					
7Z,10Z-Hexadecadienoic acid					
5b-Cholestane-3a,7a,12a,23S,25-pentol					
Etiocholanolone					
5a-Androstane-3b,17b-diol					
Stigmastanol					
Androstanediol					
5-Tetradecenoic acid					
7-Ketocholesterol					
Capric acid					
5b-Cholestane-3a,7a,12a,23R,25-pentol					
Chenodeoxycholic acid					
5a-Cholestane-3a,7a,12a,25-tetrol					
5Z-Tetradecenoic acid					
3-Methylglutaconic acid					
5-Androstene-3b,16b,17a-triol					
5-Hydroxyhexanoic acid					
5a-Tetrahydrocortisol					
5Z-Dodecenoic acid					
Campestanol					
Caproic acid					
5-Androstene-3b,16a,17a-triol					
Chenodeoxycholic acid disulfate					
Epietiocholanolone					
5-Androstenetriol					
Dihydroandrosterone					
3-Methyladipic acid					
Goshuyic acid					
B-Carotene					
Elaidic acid					
5beta-Coprostanol					
Glucosylgalactosyl hydroxylysine					
cis-4-Decenedioic acid					
CE(18:2(9Z,12Z))					CE(18:2)
Cholic acid					
Ethylmalonic acid					
Dodecanedioic acid					
Deoxycholic acid					
Epitestosterone					
Deoxycholic acid glycine conjugate					
Citraconic acid					
Erythronilic acid					
Clionasterol					
Cholesterol sulfate					
CE(16:1(9Z))					CE(16:1)
Deoxycholic acid disulfate					
Isohyodeoxycholic acid					
Leucinic acid					
Heptanoic acid					
Hexadecanedioic acid					
Linoleic acid					
Isoursodeoxycholic acid					
Lithocholic acid glycine conjugate					
Hydroxyoctanoic acid					
Isoallolithocholic acid					
Isolithocholic acid					
Lithocholyltaurine					
Hyodeoxycholic acid					
Mesaconic acid					
Methylglutaric acid					
Hyocholic acid					
Nonadecanoic acid					
Pregnenolone sulfate					
Azelaic acid					
Sebacic acid					
Pristanic acid					
Myristic acid					
Murocholic acid					
Pentadecanoic acid					
Stearic acid					
Pimelic acid					
Monomethyl glutaric acid					
5alpha-Cholestanone					
Tetradecanedioic acid					
Tauroursodeoxycholic acid					
Vitamin D3					
Ergosterol					
Tetrahydrodeoxycorticosterone					
CE(16:0)					CE(16:0)
Undecanedioic acid					
Valeric acid					
Suberic acid					
Androstanedione					
Tetrahydrocortisone					
Sulfolithocholic acid					
5alpha-Cholestanol					
Tridecanoic acid					
